System,M_T,M_T_err,M_p,M_p_err,M_c,M_c_err
J1411+2551,2.538,22,1.62,0,0.92,0
J1757-1854,2.73295,9,1.3384,9,1.3946,9
JO453+1559,2.734,3,1.559,5,1.174,4
JO737-3039,2.58708,16,1.3381,7,1.2489,7
J1518+4904,2.7183,7,0.72,0.58,2.00,0.58
B1534+12,2.678428,7,0.72,0.58,2.00,0.58
J1756-2251,2.56999,6,1.341,7,1.230,7
J1807-2500B,2.57180,73,1.3655,21,1.2064,20
J1811-1736,2.57,10,1.64,0,0.93,0
J1829+2456,2.59,2,1.64,0,1.26,0
J1906+0746,2.6134,3,1.291,11,1.322,11
J1913+1102,2.875,14,1.84,0,1.04,0
B1913+16,2.828378,7,1.4398,2,1.3886,2
J1930-1852,2.59,4,1.32,0,1.30,0
B2127+11C,2.71279,13,1.358,10,1.354,10

